Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"ExtensionResolver.java",,9,,,,0
File,"ExtensionSet.java",,61,,,,8
File,"ExtensionUtil.java",,142,,,,17
File,"ExtraAttribute.java",,37,,,,7
File,"ExtraFieldUtils.java",,100,,,,18
File,"ExtraFieldUtilsTest.java",,73,,,,7
File,"FTP.java",,653,,,,136
File,"FacadeTaskHelper.java",,47,,,,12
File,"FacadeTaskHelperTest.java",,33,,,,3
File,"FailTest.java",,43,,,,9
File,"FieldRefCPInfo.java",,49,,,,8
File,"FileConverter.java",,21,,,,3
File,"FileList.java",,76,,,,19
File,"FileListTest.java",,105,,,,12
File,"FileNameMapper.java",,6,,,,0
File,"FileScanner.java",,21,,,,0
File,"FileScanner.java",,18,,,,0
File,"FileSelector.java",,7,,,,0
File,"FileSelector.java",,7,,,,0
File,"FileService.java",,6,,,,0
File,"FileSet.java",,169,,,,44
File,"FileSet.java",,16,,,,4
File,"FileSetTest.java",,14,,,,2
File,"FileTypeSelector.java",,61,,,,15
File,"FileUtils.java",,500,,,,102
File,"FileUtils.java",,122,,,,24
File,"FileUtilsTest.java",,250,,,,22
File,"FilenameSelector.java",,77,,,,17
File,"FilenameSelectorTest.java",,73,,,,6
File,"FilesMatch.java",,30,,,,5
File,"Filter.java",,40,,,,8
File,"FilterChain.java",,78,,,,17
File,"FilterElement.java",,40,,,,8
File,"FilterFormatter.java",,46,,,,13
File,"FilterSet.java",,131,,,,31
File,"FilterSetCollection.java",,31,,,,8
File,"FilterSetTest.java",,91,,,,14
File,"FilterStackFormatter.java",,70,,,,13
File,"FilterStackFormatterTest.java",,71,,,,13
File,"FilterTest.java",,77,,,,16
File,"Filters.java",,65,,,,18
File,"FixCRLF.java",,651,,,,143
File,"FixCrLfTest.java",,121,,,,23
File,"FlatFileNameMapper.java",,8,,,,3
File,"FlexInteger.java",,13,,,,3
File,"FlexIntegerTest.java",,38,,,,9
File,"FloatCPInfo.java",,14,,,,3
File,"Formatter.java",,7,,,,0
File,"FormatterElement.java",,88,,,,20
File,"FormatterRecorder.java",,10,,,,1
File,"Frame.java",,486,,,,97
File,"FrontendUtils.java",,43,,,,6
File,"FullAnalyzer.java",,74,,,,15
File,"FunctionalRequirements.html",,0,0,,,0
File,"GUnzip.java",,51,,,,11
File,"GUnzipTest.java",,33,,,,7
File,"GZip.java",,24,,,,4
File,"Gcj.java",,57,,,,10
File,"GenerateKey.java",,223,,,,45
File,"GenericDeploymentTool.java",,484,,,,96
File,"GenericHotDeploymentTool.java",,43,,,,10
File,"Get.java",,230,,,,42
File,"GetTest.java",,35,,,,9
File,"GlobPatternMapper.java",,45,,,,7
File,"GlobPatternMapperTest.java",,63,,,,5
File,"GzipTest.java",,41,,,,9
File,"HeadFilter.java",,54,,,,13
File,"HotDeploymentTool.java",,12,,,,0
File,"Http.java",,46,,,,8
File,"HttpAuthenticationStrategy.java",,9,,,,0
File,"HttpBasicAuth.java",,24,,,,3
File,"HttpDigestAuth.java",,20,,,,3
File,"HttpGet.java",,13,,,,2
File,"HttpHead.java",,21,,,,4
File,"HttpPost.java",,76,,,,14
File,"HttpRequestParameter.java",,25,,,,6
File,"HttpTask.java",,469,,,,110
File,"IContract.java",,378,,,,82
File,"IPlanetDeploymentTool.java",,152,,,,25
File,"IPlanetEjbc.java",,777,,,,160
File,"IPlanetEjbcTask.java",,142,,,,29
File,"IdentityMapper.java",,8,,,,3
File,"Ilasm.java",,172,,,,42
File,"ImmutableTest.java",,40,,,,9
File,"ImplementationSpecificArgument.java",,18,,,,4
File,"ImplementationSpecificArgumentTest.java",,31,,,,2
File,"Import.java",,53,,,,12
File,"ImportInfo.java",,24,,,,5
File,"IncludeHandler.java",,42,,,,7
