,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
15991,0,0,0,1,0,2,3,0
29014,0,0,0,0,0,0,0,0
79144,0,0,0,0,0,0,0,0
67823,0,0,1,0,0,0,1,0
54794,0,0,0,1,0,0,0,0
65549,0,0,0,0,0,0,0,0
67500,0,0,1,0,0,0,1,0
33110,0,0,0,0,0,0,0,0
74073,0,0,0,0,0,0,0,0
27260,0,0,1,0,0,0,1,0
31715,0,0,0,1,0,3,3,0
17449,0,0,0,0,0,0,0,0
37897,2,0,0,2,0,1,1,0
29145,0,0,1,0,0,0,1,0
44066,0,0,1,0,0,0,1,0
16833,0,0,1,0,0,0,1,0
49566,0,0,6,0,0,0,6,0
5450,0,0,1,0,0,0,1,0
60877,0,0,3,0,0,0,3,0
39176,0,0,1,0,0,0,1,0
6484,0,0,1,0,0,0,1,0
81555,0,0,1,0,0,0,1,0
23294,0,0,2,0,0,0,2,0
45469,0,1,0,1,0,1,0,0
9156,0,0,1,0,0,0,1,0
11264,0,0,4,0,0,0,4,0
11430,0,0,1,0,0,0,1,0
9475,0,0,0,0,0,0,0,0
4636,0,0,0,0,0,0,6,0
18230,0,0,0,0,0,0,0,0
24867,2,0,0,1,0,0,0,0
64526,0,0,1,0,0,0,1,0
8804,0,0,1,0,0,0,1,0
60629,0,0,1,0,0,0,1,0
13729,0,0,2,0,0,0,2,0
2761,0,0,1,0,0,0,1,0
1884,0,0,0,0,0,0,2,0
59552,0,0,1,0,0,0,1,0
10175,0,0,1,0,0,0,1,0
37233,0,0,1,0,0,0,1,0
7549,0,0,0,1,0,1,1,0
50045,0,0,1,0,0,0,1,0
6274,0,0,1,0,0,0,1,0
9072,0,0,0,0,0,0,0,0
14054,0,0,1,0,0,0,1,0
39110,0,0,1,0,0,0,1,0
31914,0,0,1,0,0,0,1,0
8677,0,0,0,0,0,0,0,0
16366,0,0,1,0,0,0,1,0
12126,0,0,1,0,0,0,1,0
59568,9,0,0,1,0,1,4,0
1746,0,0,1,0,0,0,1,0
32141,3,0,0,2,0,5,1,0
32593,0,0,1,0,0,0,1,0
15407,0,0,1,0,0,0,1,0
72,0,0,1,0,0,0,1,0
30549,0,2,0,0,0,2,0,0
57612,1,0,0,2,0,1,2,0
26602,0,0,1,0,0,0,1,0
15511,0,0,1,0,0,0,1,0
3390,0,0,1,0,0,0,1,0
11102,0,0,0,0,0,0,50,0
41135,0,0,1,0,0,0,1,0
76294,0,0,1,0,0,0,1,0
9826,0,0,0,0,0,0,0,0
18444,0,0,1,0,0,0,1,0
44791,0,0,1,0,0,0,1,0
22890,0,0,1,0,0,0,1,0
19278,0,0,1,0,0,0,1,0
23375,1,0,0,1,33,3,3,0
8762,0,0,0,0,0,0,1,0
7474,0,0,0,0,0,0,8,0
4497,0,0,0,0,0,0,2,0
35271,0,0,0,0,0,0,0,0
18347,0,0,3,0,0,0,3,0
4313,0,0,0,0,0,0,0,0
50671,0,0,1,0,0,0,1,0
24706,0,0,3,0,0,0,3,0
81470,0,0,0,0,0,0,0,0
19966,0,0,0,0,0,0,0,0
52471,0,0,1,0,0,0,1,0
35222,0,0,1,0,0,0,1,0
8579,0,0,0,0,0,0,2,0
12640,0,0,1,0,0,0,1,0
52199,0,0,3,0,0,0,3,0
8794,0,0,0,0,0,0,0,0
29810,0,0,0,0,0,0,2,0
30601,0,0,1,0,0,0,1,0
50858,0,0,0,1,0,0,0,0
29151,0,0,1,0,0,0,1,0
44643,0,0,1,0,0,0,1,0
653,0,0,0,0,0,0,6,0
82533,0,0,1,0,0,0,1,0
11256,0,0,0,0,0,0,0,0
10447,0,0,1,0,0,0,1,0
1801,0,0,0,0,0,0,0,0
37547,0,0,2,0,0,0,2,0
1769,0,0,0,0,0,0,6,0
17559,0,0,6,0,0,0,6,0
3617,0,0,0,0,0,0,4,0
1685,0,0,1,0,0,0,1,0
39329,0,0,1,0,0,0,1,0
79175,0,0,15,0,0,0,15,0
49491,0,0,1,0,0,0,1,0
8972,0,0,0,0,0,0,0,0
927,0,0,0,0,0,0,1,0
56441,0,0,3,0,0,0,3,0
50890,0,0,1,0,0,0,1,0
9944,0,0,0,0,0,0,0,0
26070,0,0,0,0,0,0,52,0
26760,0,0,1,0,0,0,1,0
21971,0,0,1,0,0,0,1,0
57261,0,0,0,0,0,0,0,0
12474,0,0,1,0,0,0,1,0
14227,0,0,1,0,0,0,1,0
8537,0,0,0,0,0,0,2,0
16277,0,0,19,0,0,0,19,0
25644,0,0,1,0,0,0,1,0
30425,0,0,1,0,0,0,1,0
8844,0,0,4,0,0,0,4,0
52542,0,0,1,0,0,0,1,0
43982,0,0,2,0,0,0,2,0
9128,0,0,1,0,0,0,1,0
52824,0,0,1,0,0,0,1,0
16158,0,0,1,0,0,0,1,0
37309,0,0,1,0,0,0,1,0
1855,0,0,1,0,0,0,1,0
644,0,0,0,0,0,0,7,0
68243,0,0,1,0,0,0,1,0
1724,0,0,1,0,0,0,1,0
10160,0,0,2,0,0,0,2,0
11407,0,0,0,1,0,1,1,0
712,0,0,0,0,0,0,7,0
40241,0,0,1,0,0,0,1,0
34897,2,0,0,1,0,1,3,0
2939,0,0,0,0,0,0,9,0
48126,0,0,1,0,0,0,1,0
37198,0,0,0,0,0,0,0,0
74537,0,0,1,0,0,0,1,0
3973,0,0,3,0,0,0,3,0
25270,0,0,2,0,0,0,2,0
43302,1,0,0,1,50,2,2,0
49009,0,0,1,0,0,0,1,0
49322,1,0,0,2,0,1,2,0
59749,0,0,1,0,0,0,1,0
46359,0,0,1,0,0,0,1,0
66123,0,0,1,0,0,0,1,0
40313,0,0,1,0,0,0,1,0
6862,0,0,0,0,0,0,4,0
67027,0,0,1,0,0,0,1,0
22158,0,0,2,0,0,0,2,0
56888,0,0,1,0,0,0,1,0
49517,0,0,1,0,0,0,1,0
13709,0,0,0,0,0,0,0,0
9857,0,0,2,0,0,0,2,0
10404,0,0,1,0,0,0,1,0
78331,0,0,1,0,0,0,1,0
5233,0,0,1,0,0,0,1,0
38717,0,0,1,0,0,0,1,0
52753,0,1,0,0,0,2,0,0
5993,0,0,1,0,0,0,1,0
55143,0,0,1,0,0,0,1,0
5742,0,0,1,0,0,0,1,0
44818,0,0,1,0,0,0,1,0
45264,0,0,5,0,0,0,5,0
79529,0,0,1,0,0,0,1,0
12636,0,0,1,0,0,0,1,0
14581,0,0,1,0,0,0,1,0
13637,0,0,1,0,0,0,1,0
8982,0,0,2,0,0,0,2,0
6413,1,0,0,1,55,6,6,0
23235,0,0,3,0,0,0,3,0
3044,0,0,1,0,0,0,1,0
21360,12,0,0,1,40,10,15,0
15258,0,0,2,0,0,0,2,0
2339,0,0,0,0,0,0,0,0
64219,0,0,1,0,0,0,1,0
5168,0,0,0,0,0,0,1,0
6338,0,1,0,2,0,2,1,0
64652,2,0,0,3,0,7,1,0
21592,0,0,1,0,0,0,1,0
63540,0,0,3,0,0,0,3,0
3201,0,0,2,0,0,0,2,0
8442,0,0,1,0,0,0,1,0
7420,0,0,7,0,0,0,7,0
9,0,0,0,0,0,0,9,0
16043,0,0,1,0,0,0,1,0
35535,0,0,1,0,0,0,1,0
17766,0,0,1,0,0,0,1,0
56912,0,0,0,0,0,0,0,0
64842,0,0,0,0,0,0,0,0
6349,0,0,0,0,0,0,0,0
8135,0,0,1,0,0,0,1,0
34991,0,0,0,0,0,0,0,0
13073,0,0,1,0,0,0,1,0
51252,0,0,2,0,0,0,2,0
361,0,0,0,0,0,0,26,0
68446,0,0,2,0,0,0,2,0
22914,0,0,3,0,0,0,3,0
1785,0,0,0,0,0,0,0,0
45361,0,0,0,0,0,0,0,0
13043,0,0,2,0,0,0,2,0
2422,0,0,0,0,0,0,12,0
39235,0,0,1,0,0,0,1,0
16561,0,0,1,0,0,0,1,0
14954,0,0,1,0,0,0,1,0
86353,0,0,1,0,0,0,1,0
81113,0,0,1,0,0,0,1,0
5582,0,0,1,0,0,0,1,0
30457,0,0,2,0,0,0,2,0
6952,0,0,0,0,0,0,4,0
8648,0,0,2,0,0,0,2,0
8769,0,0,1,0,0,0,1,0
41947,0,0,0,1,0,7,7,0
25161,0,0,1,0,0,0,1,0
55833,0,0,1,0,0,0,1,0
9001,0,0,1,0,0,0,1,0
373,0,0,1,0,0,0,1,0
15826,0,0,1,0,0,0,1,0
36547,0,0,0,0,0,0,0,0
56842,1,0,0,5,0,8,1,0
7122,0,0,0,0,0,0,5,0
558,0,0,0,0,0,0,1,0
57,0,0,1,0,0,0,1,0
3067,0,0,1,0,0,0,1,0
67879,0,0,10,0,0,0,10,0
979,0,0,0,0,0,0,1,0
69454,9,0,0,2,0,6,1,0
8504,0,0,1,0,0,0,1,0
14067,0,0,2,0,0,0,2,0
53499,0,0,1,0,0,0,1,0
5823,0,0,0,0,0,0,0,0
42855,0,0,4,0,0,0,4,0
31626,0,0,0,0,0,0,0,0
18390,0,0,0,1,0,0,0,0
54529,0,0,1,0,0,0,1,0
87318,0,0,0,0,0,0,0,0
50823,0,0,0,0,0,0,0,0
60534,0,0,1,0,0,0,2,0
4952,0,0,1,0,0,0,1,0
19335,6,0,0,1,0,1,2,0
21175,0,0,0,0,0,0,0,0
14701,0,0,0,1,0,0,0,0
31789,0,0,1,0,0,0,1,0
679,0,0,0,0,0,0,3,0
8424,0,0,0,0,0,0,0,0
56944,0,0,1,0,0,0,1,0
3024,0,0,0,0,0,0,40,0
51510,0,0,1,0,0,0,1,0
76170,0,0,2,0,0,0,2,0
6871,0,0,1,0,0,0,1,0
11272,0,0,1,0,0,0,1,0
6980,0,0,1,0,0,0,1,0
31723,0,0,1,0,0,0,1,0
25198,0,0,1,0,0,0,1,0
14944,0,0,1,0,0,0,1,0
8913,0,0,0,0,0,0,4,0
25973,0,0,1,0,0,0,1,0
55512,0,0,0,1,0,0,0,0
60999,1,0,0,1,0,1,1,0
55926,0,0,0,1,0,0,0,0
22670,0,0,1,0,0,0,1,0
3005,3,0,0,2,0,1,1,0
28472,0,0,1,0,0,0,1,0
4329,0,0,2,0,0,0,2,0
65756,0,0,5,0,0,0,5,0
51238,0,0,3,0,0,0,3,0
45188,0,0,1,0,0,0,1,0
17078,0,0,5,0,0,0,5,0
64503,0,0,0,3,0,19,0,0
23335,0,0,1,0,0,0,1,0
20371,0,0,1,0,0,0,1,0
18590,0,0,0,0,0,0,0,0
41873,0,0,1,0,0,0,1,0
65616,3,0,0,1,50,5,5,0
63679,0,0,1,0,0,0,1,0
33232,0,0,1,0,0,0,1,0
42263,0,0,4,0,0,0,4,0
1888,0,0,0,0,0,0,5,0
49809,0,0,1,0,0,0,1,0
34053,0,0,4,0,0,0,4,0
38098,0,0,2,0,0,0,2,0
46476,0,0,0,0,0,0,0,0
10692,0,0,2,0,0,0,2,0
58156,0,0,1,0,0,0,1,0
6136,0,0,0,0,0,0,33,0
57480,0,0,0,0,0,0,0,0
52735,0,0,2,0,0,0,2,0
28558,0,0,2,0,0,0,2,0
59441,0,0,1,0,0,0,1,0
41431,0,1,0,0,0,2,0,0
516,0,0,6,0,0,0,6,0
73586,0,0,1,0,0,0,1,0
77056,0,0,1,0,0,0,1,0
36669,0,0,1,0,0,0,1,0
6003,0,0,1,0,0,0,1,0
16622,0,0,1,0,0,0,1,0
37835,0,0,1,0,0,0,1,0
2924,0,0,1,0,0,0,1,0
38453,0,0,2,0,0,0,2,0
18461,0,0,1,0,0,0,1,0
64593,0,0,1,0,0,0,1,0
1059,0,0,2,0,0,0,2,0
59842,0,0,1,0,0,0,1,0
1326,0,0,0,0,0,0,0,0
65154,1,0,0,2,0,15,1,0
60166,0,0,0,0,0,0,0,0
33558,0,0,1,0,0,0,1,0
41721,0,0,1,0,0,0,1,0
81,0,0,0,0,0,0,0,0
74089,0,0,0,0,0,0,0,0
8940,0,0,2,0,0,0,2,0
65799,0,0,1,0,0,0,1,0
58996,0,0,1,0,0,0,1,0
7002,0,0,0,0,0,0,2,0
16801,0,0,1,0,0,0,1,0
