Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountLineCode
File,"ContainsExtraTypeInfo.java",,,,26,,,,0,5
File,"CovariantOverrideTest.java",,,,56,,,,4,38
File,"CreatingMocksWithConstructorTest.java",,,,347,,,,52,281
File,"CreationSettings.java",,,,163,,,,23,132
File,"CustomMatcherDoesYieldCCETest.java",,,,45,,,,4,31
File,"CustomMatchersTest.java",,,,160,,,,19,125
File,"CustomVerificationTest.java",,,,65,,,,8,43
File,"CustomizedAnnotationForSmartMockTest.java",,,,57,,,,6,42
File,"DeepStubFailingWhenGenericNestedAsRawTypeTest.java",,,,30,,,,1,19
File,"DeepStubbingTest.java",,,,329,,,,26,221
File,"DeepStubbingWithJUnitRunnerTest.java",,,,45,,,,2,28
File,"DeepStubsSerializableTest.java",,,,114,,,,13,73
File,"DeepStubsWronglyReportsSerializationProblemsTest.java",,,,36,,,,4,21
File,"DefaultAnswerValidator.java",,,,23,,,,2,15
File,"DefaultAnswerValidatorTest.java",,,,40,,,,3,28
File,"DefaultInjectionEngine.java",,,,28,,,,1,14
File,"DefaultInstantiatorProvider.java",,,,22,,,,2,14
File,"DefaultInternalRunner.java",,,,95,,,,12,72
File,"DefaultInternalRunnerTest.java",,,,85,,,,6,64
File,"DefaultInvocationFactory.java",,,,58,,,,7,45
File,"DefaultLenientStubber.java",,,,68,,,,10,51
File,"DefaultMockingDetails.java",,,,89,,,,14,64
File,"DefaultMockingDetailsTest.java",,,,210,,,,22,151
File,"DefaultMockitoConfiguration.java",,,,46,,,,4,18
File,"DefaultMockitoFramework.java",,,,40,,,,4,29
File,"DefaultMockitoFrameworkTest.java",,,,116,,,,9,79
File,"DefaultMockitoPlugins.java",,,,78,,,,7,56
File,"DefaultMockitoPluginsTest.java",,,,31,,,,1,22
File,"DefaultMockitoSession.java",,,,75,,,,9,54
File,"DefaultMockitoSessionBuilder.java",,,,80,,,,14,64
File,"DefaultMockitoSessionBuilderTest.java",,,,108,,,,8,77
