Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"EmailTaskTest.java",,,,59,22,,,,3
File,"EnableAttribute.java",,,,35,5,,,,0
File,"EnumeratedAttribute.java",,,,154,58,,,,14
File,"EnumeratedAttributeTest.java",,,,99,55,,,,9
File,"Enumerations.java",,,,144,46,,,,9
File,"Environment.java",,,,171,55,,,,15
File,"EqualComparator.java",,,,58,16,,,,5
File,"Equals.java",,,,148,71,,,,21
File,"EqualsTest.java",,,,63,30,,,,3
File,"ErrorInQuitException.java",,,,45,8,,,,1
File,"EscapeUnicode.java",,,,123,45,,,,9
File,"EscapeUnicodeTest.java",,,,50,24,,,,2
File,"Evaluable.java",,,,35,8,,,,1
Public Class,"ExampleTest",0,0,1,5,5,,2,0,1
File,"ExampleTest.java",,,,23,6,,,,1
Public Method,"ExampleTest.testHello",,,,3,3,1,,,1
File,"Exec.java",,,,283,159,,,,32
File,"ExecStreamRedirectorTest.java",,,,90,66,,,,7
File,"ExecTask.java",,,,724,344,,,,84
File,"ExecTaskTest.java",,,,188,124,,,,21
File,"ExecutableSelector.java",,,,40,8,,,,1
File,"Execute.java",,,,726,368,,,,87
File,"ExecuteJava.java",,,,333,216,,,,39
File,"ExecuteJavaTest.java",,,,131,85,,,,8
File,"ExecuteOn.java",,,,773,448,,,,99
File,"ExecuteStreamHandler.java",,,,68,11,,,,0
File,"ExecuteWatchdog.java",,,,178,69,,,,15
File,"ExecuteWatchdogTest.java",,,,159,101,,,,14
File,"Executor.java",,,,48,6,,,,0
File,"ExecutorTest.java",,,,185,131,,,,21
File,"Exists.java",,,,41,8,,,,1
File,"Exists.java",,,,37,7,,,,1
File,"Exit.java",,,,237,108,,,,28
File,"ExitException.java",,,,61,16,,,,3
File,"ExitStatusException.java",,,,69,20,,,,4
File,"Expand.java",,,,554,315,,,,65
File,"ExpandProperties.java",,,,134,61,,,,11
File,"ExtendFileSelector.java",,,,39,4,,,,0
File,"ExtendSelector.java",,,,194,105,,,,25
File,"ExtendedTaskdefTest.java",,,,68,32,,,,4
File,"Extension.java",,,,646,292,,,,56
File,"ExtensionAdapter.java",,,,216,91,,,,17
File,"ExtensionPoint.java",,,,60,18,,,,4
File,"ExtensionResolver.java",,,,43,8,,,,0
File,"ExtensionSet.java",,,,152,76,,,,16
File,"ExtensionUtil.java",,,,197,110,,,,17
